STATE,Counties/principal cities,Population,"Violentcrime","Murder andnonnegligentmanslaughter",Rape1,Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft"
NC,"City of Charlotte-Mecklenburg, NC3",931235,,59,,"1,761","4,408","34,881","5,670","26,186","3,025"
NC,City of Concord,94022,,3,,40,50,"1,679",201,"1,414",64
NC,City of Gastonia,77316,,7,,140,378,"3,839",624,"2,919",296
SC,City of Rock Hill,74049,,3,,61,246,"2,794",325,"2,263",206
,Total area actually reporting,0.99,10422,136,155,"2,614","7,517","70,283","12,897","52,180","5,206"
,Estimated total,1,11087,136,717,"2,631","7,603","71,158","13,046","52,879","5,233"
,"Rate per 100,000 inhabitants",,426.9,5.2,27.6,101.3,292.7,"2,739.70",502.3,"2,036.00",201.5
VA,,218409, ,,,,, ,,,
VA,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
VA,City of Charlottesville,48585,174,1,36,30,107,"1,161",116,961,84
VA,Total area actually reporting,1,414,3,125,57,229,"3,192",350,"2,649",193
VA,"Rate per 100,000 inhabitants",,189.6,1.4,57.2,26.1,104.8,"1,461.50",160.2,"1,212.90",88.4
TN,,560236, ,,,,, ,,,
TN,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
TN,City of Chattanooga,180397,1891,19,149,310,"1,413","10,930","1,441","8,065","1,424"
TN,Total area actually reporting,0.98,2925,29,209,387,"2,300","18,010","2,681","13,070","2,259"
TN,Estimated total,1,2944,29,209,387,"2,319","18,201","2,726","13,213","2,262"
TN,"Rate per 100,000 inhabitants",,525.5,5.2,37.3,69.1,413.9,"3,248.80",486.6,"2,358.50",403.8
IL,,9503981,,,,,,,,,
IL,"Includes the Metropolitan Divisions of Chicago-Naperville-Evanston, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI",,,,,,,,,,
IL,City of Chicago,2719151,27357,563,"1,798","9,684","15,312","86,513","11,686","64,695","10,132"
IL,City of Naperville,148457,102,0,29,21,52,,163,,39
IL,City of Elgin,113060,235,3,48,57,127,"1,713",172,"1,455",86
IL,City of Gary,75426,374,40,33,145,156,"2,723",703,"1,564",456
IL,City of Evanston,74780,140,3,6,47,84,"1,702",289,"1,358",55
IL,City of Schaumburg,74169,61,0,15,22,24,"1,516",75,"1,393",48
IL,City of Bolingbrook,75451,112,1,23,17,71,592,60,477,55
IL,City of Skokie,63849,172,0,15,37,120,"1,606",206,"1,348",52
IL,City of Des Plaines,58155,39,1,6,12,20,725,65,623,37
IL,City of Hoffman Estates,51514,48,1,14,9,24,417,45,349,23
IL,Total area actually reporting,0.96,,755,"3,739",,,,,,
IL,Estimated total,1,,762,"3,829",,,,,,
IL,"Rate per 100,000 inhabitants",,,8,40.3,,,,,,
"Chicago-Naperville-Evanston, IL M.D.4, 5",,7167753,,,,,,,,,
,"Includes Cook, DuPage, Grundy, McHenry, and Will Counties,",,,,,,,,,,
,Total area actually reporting,0.98,,655,"3,052","11,650",,,,,"14,041"
,Estimated total,1,,659,"3,106","11,721",,,,,"14,220"
,"Rate per 100,000 inhabitants",,,9.2,43.3,163.5,,,,,198.4
IL,,766519,,,,,,,,,
,"Includes DeKalb, Kane, and Kendall Counties",,,,,,,,,,
,Total area actually reporting,0.98,1277,9,278,214,776,"7,942",979,"6,638",325
,Estimated total,1,1297,9,281,217,790,"8,122","1,004","6,782",336
,"Rate per 100,000 inhabitants",,169.2,1.2,36.7,28.3,103.1,"1,059.60",131,884.8,43.8
IN,,700510,,,,,,,,,
IN,"Includes Jasper, Lake, Newton, and Porter Counties",,,,,,,,,,
IN,Total area actually reporting,0.89,,68,158,,663,"13,620","1,764","10,448","1,408"
IN,Estimated total,1,,69,167,,752,"14,929","1,961","11,465","1,503"
IN,"Rate per 100,000 inhabitants",,,9.8,23.8,,107.4,"2,131.20",279.9,"1,636.70",214.6
"Lake County-Kenosha County, IL-WI M.D.4, 5",,869199,,,,,,,,,
,"Includes Lake County, IL and Kenosha County, WI",,,,,,,,,,
,Total area actually reporting,0.92,1343,23,251,357,712,,"1,341",,
,Estimated total,1,1483,25,275,392,791,,"1,498",,
,"Rate per 100,000 inhabitants",,170.6,2.9,31.6,45.1,91,,172.3,,
CA,,228880, ,,,,, ,,,
CA,Includes Butte County,,,,,,,,,,
CA,City of Chico,94273,611,2,86,106,417,"2,403",327,"1,761",315
CA,Total area actually reporting,1,1214,10,152,178,874,"5,824","1,242","3,762",820
CA,"Rate per 100,000 inhabitants",,530.4,4.4,66.4,77.8,381.9,"2,544.60",542.6,"1,643.70",358.3
OH,,2212114,,,,,,,,,
OH,"Includes Dearborn, Franklin, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
OH,City of Cincinnati,301952,2535,57,293,897,"1,288","13,710","2,978","9,422","1,310"
OH,Total area actually reporting,0.87,4733,85,847,"1,437","2,364","41,496","6,850","31,502","3,144"
OH,Estimated total,1,4982,86,873,"1,492","2,531","45,584","7,454","34,770","3,360"
OH,"Rate per 100,000 inhabitants",,225.2,3.9,39.5,67.4,114.4,"2,060.70",337,"1,571.80",151.9
TN,,302027, ,,,,, ,,,
TN,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,
TN,"City of Clarksville, TN",156264,1041,15,81,130,815,"4,514",598,"3,572",344
TN,Total area actually reporting,1,1333,19,120,167,"1,027","7,140","1,289","5,277",574
TN,"Rate per 100,000 inhabitants",,441.4,6.3,39.7,55.3,340,"2,364.00",426.8,"1,747.20",190
TN,,123241, ,,,,, ,,,
TN,Includes Bradley and Polk Counties,,,,,,,,,,
TN,City of Cleveland,44954,412,0,22,32,358,"2,512",384,"1,908",220
TN,Total area actually reporting,1,664,1,33,44,586,"3,826",674,"2,748",404
TN,"Rate per 100,000 inhabitants",,538.8,0.8,26.8,35.7,475.5,"3,104.50",546.9,"2,229.80",327.8
ID,,161890,,,,,,,,,
ID,Includes Kootenai County,, ,,,,,,,,
ID,City of Coeur d'Alene,51650,188,2,54,19,113,972,141,760,71
ID,Total area actually reporting,1,370,5,79,28,258,"2,518",418,"1,929",171
ID,"Rate per 100,000 inhabitants",,228.6,3.1,48.8,17.3,159.4,"1,555.40",258.2,"1,191.50",105.6
TX,,261699,,,,,,,,,
TX,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
TX,City of College Station,116565,237,1,76,30,130,"2,422",285,"1,988",149
TX,City of Bryan,85152,332,2,55,53,222,"2,073",373,"1,561",139
TX,Total area actually reporting,1,713,5,166,93,449,"5,617",916,"4,337",364
TX,"Rate per 100,000 inhabitants",,272.5,1.9,63.4,35.5,171.6,"2,146.40",350,"1,657.20",139.1
CO,,735368, ,,,,, ,,,
CO,Includes El Paso and Teller Counties,,,,,,,,,,
CO,City of Colorado Springs,471124,2617,32,483,515,"1,587","15,752","2,727","10,626","2,399"
CO,Total area actually reporting,0.99,3405,44,680,570,"2,111","19,217","3,316","13,024","2,877"
CO,Estimated total,1,3430,44,687,578,"2,121","19,485","3,323","13,266","2,896"
CO,"Rate per 100,000 inhabitants",,466.4,6,93.4,78.6,288.4,"2,649.70",451.9,"1,804.00",393.8
MO,,208160, ,,,,, ,,,
MO,"Includes Boone, Cooper, and Howard Counties",,,,,,,,,,
MO,City of Columbia,123586,446,5,89,104,248,"3,483",549,"2,648",286
MO,Total area actually reporting,1,606,9,110,116,371,"4,879",743,"3,715",421
MO,"Rate per 100,000 inhabitants",,291.1,4.3,52.8,55.7,178.2,"2,343.90",356.9,"1,784.70",202.2
SC,,833205, ,,,,, ,,,
SC,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
SC,City of Columbia,133540,986,16,90,224,656,"6,753","1,006","4,979",768
SC,Total area actually reporting,1,4731,61,419,724,"3,527","29,202","4,814","20,968","3,420"
SC,Estimated total,1,4732,61,419,724,"3,528","29,212","4,816","20,975","3,421"
SC,"Rate per 100,000 inhabitants",,567.9,7.3,50.3,86.9,423.4,"3,506.00",578,"2,517.40",410.6
IN,,82793, ,,,,, ,,,
IN,Includes Bartholomew County,,,,,,,,,,
IN,City of Columbus,47595,76,0,46,26,4,"1,706",180,"1,411",115
IN,Total area actually reporting,1,123,0,67,31,25,"2,180",255,"1,752",173
IN,"Rate per 100,000 inhabitants",,148.6,0,80.9,37.4,30.2,"2,633.10",308,"2,116.10",209
OH,,2106940, ,,,,, ,,,
OH,"Includes Delaware, Fairfield, Franklin, Hocking, Licking, Madison, Morrow, Perry, Pickaway, and Union Counties",,,,,,,,,,
OH,City of Columbus,892576,4416,99,820,"1,922","1,575","31,512","6,271","21,323","3,918"
OH,Total area actually reporting,0.94,5775,129,"1,217","2,221","2,208","51,370","9,423","36,982","4,965"
OH,Estimated total,1,5951,129,"1,247","2,300","2,275","53,769","9,669","38,958","5,142"
OH,"Rate per 100,000 inhabitants",,282.4,6.1,59.2,109.2,108,"2,552.00",458.9,"1,849.00",244.1
TX,,430731, ,,,,, ,,,
TX,Includes Nueces and San Patricio Counties,,,,,,,,,,
TX,City of Corpus Christi,328614,2488,24,295,515,"1,654","11,975","2,146","8,913",916
TX,Total area actually reporting,0.97,2991,32,339,538,"2,082","14,290","2,628","10,600","1,062"
TX,Estimated total,1,3012,32,342,541,"2,097","14,525","2,662","10,785","1,078"
TX,"Rate per 100,000 inhabitants",,699.3,7.4,79.4,125.6,486.8,"3,372.20",618,"2,503.90",250.3
OR,,91791, ,,,,, ,,,
OR,Includes Benton County,,, ,,,,,,,
OR,City of Corvallis,58491,94,0,28,25,41,"1,835",185,"1,580",70
OR,Total area actually reporting,1,139,1,36,30,72,"2,587",290,"2,196",101
OR,"Rate per 100,000 inhabitants",,151.4,1.1,39.2,32.7,78.4,"2,818.40",315.9,"2,392.40",110
FL,,276692,,,,,,,,,
FL,Includes Okaloosa and Walton Counties,,,,,,,,,,
FL,City of Crestview,24293,86,1,14,21,50,702,137,516,49
FL,City of Fort Walton Beach,22263,69,1,13,7,48,655,82,515,58
FL,Total area actually reporting,1,872,12,124,61,675,"5,339",874,"4,078",387
FL,Estimated total,1,875,12,124,62,677,"5,363",879,"4,095",389
FL,"Rate per 100,000 inhabitants",,316.2,4.3,44.8,22.4,244.7,"1,938.30",317.7,"1,480.00",140.6
MD,,97589, ,,,,, ,,,
MD,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
MD,"City of Cumberland, MD",19555,146,0,11,30,105,881,231,630,20
MD,Total area actually reporting,0.99,291,2,21,44,224,"1,805",431,"1,294",80
MD,Estimated total,1,297,2,21,46,228,"1,845",435,"1,328",82
MD,"Rate per 100,000 inhabitants",,304.3,2,21.5,47.1,233.6,"1,890.60",445.7,"1,360.80",84
TX,,7458118,,,,,,,,,
TX,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington-Grapevine2,,,,,,,,,,
TX,City of Dallas,1362465,10422,155,828,"3,987","5,452","44,266","9,065","25,541","9,660"
TX,City of Fort Worth,893756,4482,58,482,"1,116","2,826","25,433","4,504","17,957","2,972"
TX,City of Arlington,400920,1784,7,203,360,"1,214","11,780","1,509","9,033","1,238"
TX,City of Plano,289897,402,5,77,112,208,"4,955",671,"3,911",373
TX,City of Irving,243940,510,10,55,218,227,"5,759",712,"4,327",720
TX,City of Denton,139262,439,2,124,97,216,"3,228",404,"2,600",224
TX,City of Richardson,119480,135,2,18,52,63,"2,522",364,"1,944",214
TX,City of Grapevine,55130,87,0,7,16,64,"1,288",91,"1,061",136
TX,Total area actually reporting,1,26124,328,"3,357","7,717","14,722","165,937","26,825","116,661","22,451"
TX,Estimated total,1,26178,328,"3,362","7,725","14,763","166,519","26,917","117,108","22,494"
TX,"Rate per 100,000 inhabitants",,351,4.4,45.1,103.6,197.9,"2,232.70",360.9,"1,570.20",301.6
TX,,5001330,,,,,,,,,
TX,"Includes Collin, Dallas, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
TX,Total area actually reporting,1,17688,241,"2,216","5,851","9,380","109,087","18,048","74,577","16,462"
TX,Estimated total,1,17694,241,"2,216","5,851","9,386","109,150","18,062","74,620","16,468"
TX,"Rate per 100,000 inhabitants",,353.8,4.8,44.3,117,187.7,"2,182.40",361.1,"1,492.00",329.3
TX,,2456788,,,,,,,,,
TX,"Includes Johnson, Parker, Tarrant, and Wise Counties",,,,,,,,,,
TX,Total area actually reporting,0.99,8436,87,"1,141","1,866","5,342","56,850","8,777","42,084","5,989"
TX,Estimated total,1,8484,87,"1,146","1,874","5,377","57,369","8,855","42,488","6,026"
TX,"Rate per 100,000 inhabitants",,345.3,3.5,46.6,76.3,218.9,"2,335.10",360.4,"1,729.40",245.3
GA,,144471, ,,,,, ,,,
GA,Includes Murray and Whitfield Counties,,,,,,,,,,
GA,City of Dalton,33831,93,0,11,21,61,987,119,787,81
GA,Total area actually reporting,1,297,1,22,33,241,"2,435",499,"1,730",206
GA,Estimated total,1,297,1,22,33,241,"2,444",499,"1,739",206
GA,"Rate per 100,000 inhabitants",,205.6,0.7,15.2,22.8,166.8,"1,691.70",345.4,"1,203.70",142.6
IL,,77051, ,,,,, ,,,
IL,Includes Vermilion County,,,,,,,,,,
IL,City of Danville,31203,559,12,53,103,391,"1,508",379,"1,052",77
IL,Total area actually reporting,0.98,717,16,93,117,491,"2,303",636,"1,550",117
IL,Estimated total,1,718,16,93,117,492,"2,319",639,"1,562",118
IL,"Rate per 100,000 inhabitants",,931.9,20.8,120.7,151.8,638.5,"3,009.70",829.3,"2,027.20",153.1
AL,,217171, ,,,,, ,,,
AL,Includes Baldwin County,,,,,,,,,,
AL,City of Daphne,26618,36,0,6,8,22,463,42,404,17
AL,City of Fairhope,21688,43,0,16,3,24,537,57,449,31
AL,City of Foley,18740,48,2,6,7,33,755,90,643,22
AL,City of Gulf Shores,12014,24,0,3,2,19,497,53,419,25
AL,Total area actually reporting,1,565,3,72,70,420,"4,010",556,"3,263",191
AL,"Rate per 100,000 inhabitants",,260.2,1.4,33.2,32.2,193.4,"1,846.50",256,"1,502.50",87.9
OH,,804790, ,,,,, ,,,
OH,"Includes Greene, Miami, and Montgomery Counties",,,,,,,,,,
OH,City of Dayton,140094,1291,37,167,403,684,"6,323","1,697","3,831",795
OH,City of Kettering,55038,54,0,19,16,19,838,168,631,39
OH,Total area actually reporting,0.96,2496,60,470,667,"1,299","19,241","3,755","13,631","1,855"
OH,Estimated total,1,2555,60,485,706,"1,304","19,726","3,770","14,026","1,930"
OH,"Rate per 100,000 inhabitants",,317.5,7.5,60.3,87.7,162,"2,451.10",468.4,"1,742.80",239.8
IL,,104649, ,,,,, ,,,
IL,Includes Macon County,,,,,,,,,,
IL,City of Decatur,71625,358,9,30,84,235,"2,050",618,"1,325",107
IL,Total area actually reporting,0.99,407,9,36,86,276,"2,529",712,"1,698",119
IL,Estimated total,1,408,9,36,86,277,"2,543",715,"1,708",120
IL,"Rate per 100,000 inhabitants", ,389.9,8.6,34.4,82.2,264.7,"2,430.00",683.2,"1,632.10",114.7
FL,,657657,,,,,,,,,
FL,Includes Flagler and Volusia Counties,,,,,,,,,,
FL,City of Daytona Beach,69030,764,8,17,91,648,"3,358",384,"2,750",224
FL,City of Ormond Beach,43315,131,0,12,16,103,"1,367",184,"1,088",95
FL,City of DeLand,33384,182,2,2,43,135,"1,256",185,993,78
FL,Total area actually reporting,1,2237,25,171,314,"1,727","14,614","2,216","11,366","1,032"
FL,"Rate per 100,000 inhabitants",,340.1,3.8,26,47.7,262.6,"2,222.10",337,"1,728.30",156.9
FL,,4325220,,,,,,,,,
MI,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
MI,City of Detroit,671275,13478,261,988,"2,309","9,920","28,897","7,440","15,003","6,454"
MI,City of Warren,135160,688,4,108,121,455,"2,808",581,"1,688",539
MI,City of Dearborn,94022,314,1,36,82,195,"1,871",233,"1,438",200
MI,City of Livonia,93740,138,0,34,19,85,"1,313",111,"1,092",110
MI,City of Troy,84221,52,1,8,11,32,"1,157",94,"1,011",52
MI,City of Farmington Hills,81239,69,1,16,9,43,681,85,554,42
MI,City of Southfield,73418,204,2,36,48,118,"1,509",262,"1,049",198
MI,City of Taylor,61037,366,1,54,48,263,"1,346",276,946,124
MI,City of Pontiac,59817,799,14,58,96,631,"1,286",412,779,95
MI,City of Novi,60378,43,2,6,3,32,532,33,481,18
MI,Total area actually reporting,1,23144,345,"2,618","3,556","16,625",,,"49,050","11,168"
MI,"Rate per 100,000 inhabitants",,535.1,8,60.5,82.2,384.4,,,"1,134.00",258.2
MI,,1748511,,,,,,,,,
MI,Includes Wayne County,,,,,,,,,,
MI,Total area actually reporting,1,17516,293,"1,582","2,916","12,725","47,367","10,476","28,355","8,536"
MI,"Rate per 100,000 inhabitants",,1001.8,16.8,90.5,166.8,727.8,"2,709.00",599.1,"1,621.70",488.2
MI,,2576709,,,,,,,,,
MI,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
MI,Total area actually reporting,1,5628,52,"1,036",640,"3,900",,,"20,695","2,632"
MI,"Rate per 100,000 inhabitants",,218.4,2,40.2,24.8,151.4,,,803.2,102.1
AL,,148181, ,,,,, ,,,
AL,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
AL,City of Dothan,67260,656,9,26,78,543,"2,745",550,"2,002",193
AL,Total area actually reporting,1,892,11,49,100,732,"4,108",886,"2,909",313
AL,Estimated total,1,892,11,49,100,732,"4,111",886,"2,912",313
AL,"Rate per 100,000 inhabitants",,602,7.4,33.1,67.5,494,"2,774.30",597.9,"1,965.20",211.2
DE,,178138, ,,,,, ,,,
DE,Includes Kent County,,,,,,,,,,
DE,City of Dover,37778,301,4,20,43,234,"1,810",58,"1,663",89
DE,Total area actually reporting,1,757,6,82,92,577,"3,804",410,"3,206",188
DE,"Rate per 100,000 inhabitants",,425,3.4,46,51.6,323.9,"2,135.40",230.2,"1,799.70",105.5
MN,,288923, ,,,,, ,,,
MN,"Includes Carlton, Lake, and St. Louis Counties, MN and Douglas County, WI",,,,,,,,,,
MN,"City of Duluth, MN",86048,308,1,45,66,196,"3,688",472,"3,013",203
MN,Total area actually reporting,1,605,4,119,99,383,"7,550","1,192","5,841",517
MN,"Rate per 100,000 inhabitants",,209.4,1.4,41.2,34.3,132.6,"2,613.20",412.6,"2,021.60",178.9
PA,,167618, ,,,,, ,,,
PA,Includes Monroe County,, ,,,,,,,,
PA,Total area actually reporting,1,352,6,87,39,220,"2,892",485,"2,285",122
PA,"Rate per 100,000 inhabitants",,210,3.6,51.9,23.3,131.3,"1,725.40",289.3,"1,363.20",72.8
WI,,168407, ,,,,, ,,,
WI,Includes Chippewa and Eau Claire2 Counties,,,,,,,,,,
WI,City of Eau Claire,68923,199,0,58,23,118,"1,688",292,"1,332",64
WI,Total area actually reporting,1,306,2,108,28,168,"2,851",462,"2,259",130
WI,"Rate per 100,000 inhabitants",,181.7,1.2,64.1,16.6,99.8,"1,692.90",274.3,"1,341.40",77.2
CA,,182590, ,,,,, ,,,
CA,Includes Imperial County,,,,,,,,,,
CA,City of El Centro,44609,126,1,12,29,84,"1,625",439,"1,076",110
CA,Total area actually reporting,0.96,645,6,40,83,516,"4,293","1,090","2,726",477
CA,Estimated total,1,655,6,40,83,526,"4,396","1,109","2,805",482
CA,"Rate per 100,000 inhabitants",,358.7,3.3,21.9,45.5,288.1,"2,407.60",607.4,"1,536.20",264
KY,,150452, ,,,,, ,,,
KY,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
KY,City of Elizabethtown,30180,64,3,17,22,22,400,124,207,69
KY,Total area actually reporting,1,171,7,48,53,63,,,"1,081",222
KY,"Rate per 100,000 inhabitants",,113.7,4.7,31.9,35.2,41.9,,,718.5,147.6
NY,,83485, ,,,,, ,,,
NY,Includes Chemung County,,,,,,,,,,
NY,City of Elmira,27556,70,3,0,21,46,702,131,553,18
NY,Total area actually reporting,1,134,3,19,25,87,"1,304",198,"1,073",33
NY,"Rate per 100,000 inhabitants",,160.5,3.6,22.8,29.9,104.2,"1,562.00",237.2,"1,285.30",39.5
TX,,848016, ,,,,, ,,,
TX,Includes El Paso and Hudspeth2 Counties,,,,,,,,,,
TX,City of El Paso,688442,2554,23,405,376,"1,750","10,365","1,107","8,441",817
TX,Total area actually reporting,1,2925,32,464,404,"2,025","12,022","1,393","9,688",941
TX,"Rate per 100,000 inhabitants",,344.9,3.8,54.7,47.6,238.8,"1,417.70",164.3,"1,142.40",111
OK,,61489, ,,,,, ,,,
OK,Includes Garfield County,,,,,,,,,,
OK,City of Enid,50214,173,3,34,17,119,"1,428",370,975,83
OK,Total area actually reporting,1,188,3,39,17,129,"1,577",415,"1,065",97
OK,"Rate per 100,000 inhabitants",,305.7,4.9,63.4,27.6,209.8,"2,564.70",674.9,"1,732.00",157.8
PA,,273386, ,,,,, ,,,
PA,Includes Erie County,,,,,,,,,,
PA,City of Erie,96758,299,11,39,91,158,"1,880",420,"1,355",105
PA,Total area actually reporting,1,638,17,109,117,395,"4,339",718,"3,455",166
PA,"Rate per 100,000 inhabitants",,233.4,6.2,39.9,42.8,144.5,"1,587.10",262.6,"1,263.80",60.7
OR,,378307, ,,,,, ,,,
OR,Includes Lane County,,,,,,,,,,
OR,City of Eugene,170771,661,3,119,171,368,"5,503",813,"4,148",542
OR,City of Springfield,62786,182,2,36,31,113,"2,120",211,"1,754",155
OR,Total area actually reporting,0.99,1176,5,195,224,752,"9,671","1,437","7,307",927
OR,Estimated total,1,1186,5,196,227,758,"9,752","1,440","7,368",944
OR,"Rate per 100,000 inhabitants",,313.5,1.3,51.8,60,200.4,"2,577.80",380.6,"1,947.60",249.5
IN,,316135, ,,,,, ,,,
IN,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",,, ,,,,,,,
IN,City of Evansville,118765,675,10,91,156,418,"5,301",714,"4,078",509
IN,Total area actually reporting,0.98,1005,13,144,205,643,,,"5,899",736
IN,Estimated total,1,1009,13,144,205,647,,,"5,997",737
IN,"Rate per 100,000 inhabitants",,319.2,4.1,45.6,64.8,204.7,,,"1,897.00",233.1
AK,,33731, ,,,,, ,,,
AK,Includes Fairbanks North Star Borough,,, ,,,,,,,
AK,City of Fairbanks,31635,193,4,21,43,125,"1,354",111,"1,089",154
AK,Total area actually reporting,1,211,4,25,43,139,"1,473",113,"1,201",159
AK,"Rate per 100,000 inhabitants",,625.5,11.9,74.1,127.5,412.1,"4,366.90",335,"3,560.50",471.4
MN,,244233, ,,,,, ,,,
MN,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
MN,"City of Fargo, ND",124906,522,5,105,63,349,"3,931",695,"2,927",309
MN,Total area actually reporting,1,686,6,141,78,461,"5,964","1,029","4,474",461
MN,"Rate per 100,000 inhabitants",,280.9,2.5,57.7,31.9,188.8,"2,441.90",421.3,"1,831.90",188.8
NM,,126691, ,,,,, ,,,
NM,Includes San Juan County,,,,,,,,,,
NM,City of Farmington,45364,593,8,81,70,434,"1,769",434,"1,189",146
NM,Total area actually reporting,1,1520,9,152,84,"1,275","2,798",726,"1,822",250
NM,"Rate per 100,000 inhabitants",,1199.8,7.1,120,66.3,"1,006.40","2,208.50",573,"1,438.10",197.3
"Fayetteville-Springdale-Rogers, AR M.S.A.5",,525272,,,,,,,,,
AR,"Includes Benton, Madison, and Washington5 Counties",,,,,,,,,,
AR,City of Fayetteville,87008,496,1,81,60,354,"3,768",444,"2,894",430
AR,City of Springdale,80895,388,3,94,31,260,"2,702",357,"2,078",267
AR,City of Rogers,68026,294,2,78,23,191,"1,925",189,"1,636",100
AR,City of Bentonville,51607,106,0,28,5,73,705,110,568,27
AR,Total area actually reporting,1,2027,14,455,138,"1,420",,,"9,042","1,133"
AR,"Rate per 100,000 inhabitants",,385.9,2.7,86.6,26.3,270.3,,,"1,721.40",215.7
AZ,,142927, ,,,,, ,,,
AZ,Includes Coconino County,,,,,,,,,,
AZ,City of Flagstaff,72852,342,2,37,40,263,"2,465",178,"2,234",53
AZ,Total area actually reporting,1,572,5,72,48,447,"3,548",355,"3,095",98
AZ,"Rate per 100,000 inhabitants",,400.2,3.5,50.4,33.6,312.7,"2,482.40",248.4,"2,165.40",68.6
MI,,405750, ,,,,, ,,,
MI,Includes Genesee County,,,,,,,,,,
MI,City of Flint,95677,1739,32,130,189,"1,388","2,584",796,"1,488",300
MI,Total area actually reporting,1,2772,38,338,275,"2,121","7,380","1,675","5,002",703
MI,"Rate per 100,000 inhabitants",,683.2,9.4,83.3,67.8,522.7,"1,818.90",412.8,"1,232.80",173.3
SC,,205828, ,,,,, ,,,
SC,Includes Darlington and Florence Counties,,,,,,,,,,
SC,City of Florence,37819,362,8,18,72,264,"2,462",375,"1,935",152
SC,Total area actually reporting,0.99,1529,33,135,214,"1,147","8,008","1,794","5,632",582
SC,Estimated total,1,1540,33,136,216,"1,155","8,076","1,806","5,682",588
SC,"Rate per 100,000 inhabitants",,748.2,16,66.1,104.9,561.1,"3,923.70",877.4,"2,760.60",285.7
AL,,146974, ,,,,, ,,,
AL,Includes Colbert and Lauderdale Counties,,,,,,,,,,
AL,City of Florence,39925,206,4,23,30,149,"1,663",282,"1,215",166
AL,City of Muscle Shoals,14143,86,2,7,7,70,800,115,620,65
AL,Total area actually reporting,1,438,11,54,50,323,"3,456",608,"2,517",331
AL,Estimated total,1,438,11,54,50,323,"3,457",608,"2,518",331
AL,"Rate per 100,000 inhabitants",,298,7.5,36.7,34,219.8,"2,352.10",413.7,"1,713.20",225.2
WI,,102729, ,,,,, ,,,
WI,Includes Fond du Lac County,,,,,,,,,,
WI,City of Fond du Lac,42777,101,4,29,14,54,"1,012",78,887,47
WI,Total area actually reporting,1,145,4,40,17,84,"1,358",140,"1,151",67
WI,"Rate per 100,000 inhabitants",,141.1,3.9,38.9,16.5,81.8,"1,321.90",136.3,"1,120.40",65.2
CO,,349357,,,,,,,,,
CO,Includes Larimer County,, ,,,,,,,,
CO,City of Fort Collins,168163,392,3,28,39,322,"3,701",357,"3,163",181
CO,Total area actually reporting,1,772,5,120,60,587,"6,994",790,"5,822",382
CO,"Rate per 100,000 inhabitants",,221,1.4,34.3,17.2,168,"2,002.00",226.1,"1,666.50",109.3
AR,,250116, , ,,,, ,,,
AR,"Includes Crawford, Franklin, and Sebastian Counties, AR and Sequoyah County, OK",,,,,,,,,,
AR,City of Fort Smith,88290,707,9,86,97,515,"4,265",711,"3,268",286
AR,Total area actually reporting,1,1306,14,180,112,"1,000","7,116","1,451","5,175",490
AR,Estimated total,1,1312,14,181,113,"1,004","7,127","1,456","5,179",492
AR,"Rate per 100,000 inhabitants",,524.6,5.6,72.4,45.2,401.4,"2,849.50",582.1,"2,070.60",196.7
IN,,409063, ,,,,, ,,,
IN,Includes Allen and Whitley Counties,,,,,,,,,,
IN,City of Fort Wayne,267634,1024,40,131,307,546,"7,007","1,006","5,453",548
IN,Total area actually reporting,0.92,1234,41,167,347,679,"8,033","1,206","6,180",647
IN,Estimated total,1,1266,42,168,348,708,"8,405","1,282","6,462",661
IN,"Rate per 100,000 inhabitants",,309.5,10.3,41.1,85.1,173.1,"2,054.70",313.4,"1,579.70",161.6
CA,,989980, ,,,,, ,,,
CA,Includes Fresno County,,,,,,,,,,
CA,City of Fresno,531818,2953,32,170,909,"1,842","17,787","2,949","12,473","2,365"
CA,Total area actually reporting,1,5893,54,350,"1,171","4,318","27,426","5,905","17,532","3,989"
