STATE,Counties/principal cities,Population,"Violentcrime","Murder andnonnegligentmanslaughter",Rape1,Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft"
AK,"Rate per 100,000 inhabitants",,1263.6,8.4,200.1,235.2,819.9,"5,016.80",703.4,"3,342.50",970.9
MI,,371644, ,,,,, ,,,
MI,Includes Washtenaw County,,,,,,,,,,
MI,City of Ann Arbor,122571,270,2,55,45,168,"1,932",215,"1,650",67
MI,Total area actually reporting,1,1199,13,245,147,794,"5,560",843,"4,382",335
MI,"Rate per 100,000 inhabitants",,322.6,3.5,65.9,39.6,213.6,"1,496.10",226.8,"1,179.10",90.1
AL,,114180,,,,,,,,,
AL,Includes Calhoun County,, ,,,,,,,,
AL,City of Anniston,21592,646,7,43,68,528,"1,696",413,"1,131",152
AL,City of Oxford,17000,54,0,1,9,44,746,89,633,24
AL,Total area actually reporting,0.99,829,8,55,96,670,"3,180",695,"2,276",209
AL,Estimated total,1,829,8,55,96,670,"3,184",695,"2,280",209
AL,"Rate per 100,000 inhabitants",,726,7,48.2,84.1,586.8,"2,788.60",608.7,"1,996.80",183
WI,,237722, ,,,,, ,,,
WI,Includes Calumet and Outagamie Counties,,,,,,,,,,
WI,City of Appleton,74931,165,0,26,23,116,"1,151",131,973,47
WI,Total area actually reporting,1,341,2,67,28,244,"2,491",277,"2,104",110
WI,"Rate per 100,000 inhabitants",,143.4,0.8,28.2,11.8,102.6,"1,047.90",116.5,885.1,46.3
NC,,460823, ,,,,, ,,,
NC,"Includes Buncombe, Haywood, Henderson, and Madison Counties3",,,,,,,,,,
NC,City of Asheville,93186,,12,,148,392,"4,798",691,"3,707",400
NC,Total area actually reporting,0.99,1221,16,118,218,869,"10,211","2,289","7,023",899
NC,Estimated total,1,1227,16,118,218,875,"10,320","2,312","7,104",904
NC,"Rate per 100,000 inhabitants",,266.3,3.5,25.6,47.3,189.9,"2,239.50",501.7,"1,541.60",196.2
GA,,5962282,,,,,,,,,
GA,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta,2 Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",,,,,,,,,,
GA,City of Atlanta,496106,3814,88,245,"1,099","2,382","23,091","3,082","16,701","3,308"
GA,City of Sandy Springs,108654,128,2,10,43,73,"2,015",301,"1,553",161
GA,City of Alpharetta,67051,42,1,10,16,15,"1,204",103,"1,060",41
GA,City of Marietta,61675,214,3,27,74,110,"1,948",228,"1,554",166
GA,Total area actually reporting,0.98,18890,340,"1,553","5,577","11,420","151,018","23,109","111,517","16,392"
GA,Estimated total,1,19120,341,"1,558","5,611","11,610","153,531","23,483","113,475","16,573"
GA,"Rate per 100,000 inhabitants",,320.7,5.7,26.1,94.1,194.7,"2,575.00",393.9,"1,903.20",278
NJ,,265451, ,,,,, ,,,
NJ,Includes Atlantic County,,,,,,,,,,
NJ,City of Atlantic City,38271,276,7,11,131,127,"1,181",116,994,71
NJ,City of Hammonton,14311,9,0,0,5,4,149,30,111,8
NJ,Total area actually reporting,1,692,16,46,234,396,"5,895",884,"4,814",197
NJ,"Rate per 100,000 inhabitants",,260.7,6,17.3,88.2,149.2,"2,220.70",333,"1,813.50",74.2
AL,,164783,,,,,,,,,
AL,Includes Lee County,,,,,,,,,,
AL,City of Auburn,65585,240,4,16,29,191,"1,396",115,"1,206",75
AL,City of Opelika,30822,168,5,13,31,119,"1,214",143,991,80
AL,Total area actually reporting,1,859,12,59,80,708,"3,812",556,"2,947",309
AL,"Rate per 100,000 inhabitants",,521.3,7.3,35.8,48.5,429.7,"2,313.30",337.4,"1,788.40",187.5
GA,,604618, ,,,,, ,,,
GA,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",,,,,,,,,,
GA,Total area actually reporting,0.97,1619,63,184,354,"1,018",,"2,947",,"1,237"
GA,Estimated total,1,1696,63,192,363,"1,078",,"3,042",,"1,261"
GA,"Rate per 100,000 inhabitants",,280.5,10.4,31.8,60,178.3,,503.1,,208.6
TX,,2172348,,,,,,,,,
TX,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson2 Counties",, ,,,,,,,,
TX,City of Austin,973344,3720,32,787,"1,021","1,880","33,655","4,549","26,568","2,538"
TX,City of Round Rock,127354,154,1,34,29,90,"2,494",288,"2,148",58
TX,City of Georgetown,74709,78,0,22,10,46,731,92,595,44
TX,City of San Marcos,66157,263,1,83,42,137,"1,415",270,"1,044",101
