Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,GA,Georgia,Warner Robins,7.1,6.7,7.5,,,
2017,GA,Georgia,Warner Robins,5.4,5.2,5.5,,,
2017,ID,Idaho,Boise City,5.6,5.5,5.8,,,
2017,HI,Hawaii,Honolulu,5.2,4.9,5.6,,,
2017,HI,Hawaii,Honolulu,1.8,1.7,1.9,,,
2017,HI,Hawaii,Honolulu,5.8,5.5,6,,,
2017,GA,Georgia,Savannah,5.4,5.2,5.7,,,
2017,GA,Georgia,Sandy Springs,4.2,4.1,4.3,,,
2017,HI,Hawaii,Honolulu,6.1,5.8,6.3,,,
2017,GA,Georgia,Columbus,5.5,5.2,5.6,,,
2017,GA,Georgia,Savannah,7.3,6.9,7.7,,,
2017,GA,Georgia,Macon,6.1,5.9,6.5,,,
2017,HI,Hawaii,Honolulu,6.4,6.3,6.7,,,
2017,GA,Georgia,Augusta,4.8,4.6,4.9,,,
2017,GA,Georgia,Johns Creek,5.6,5.5,5.6,,,
2017,GA,Georgia,Augusta,5.6,5.5,5.9,,,
2017,GA,Georgia,Columbus,4,3.9,4,,,
2017,GA,Georgia,Columbus,5.9,5.8,6.1,,,
2017,GA,Georgia,Savannah,7.1,6.8,7.3,,,
2017,ID,Idaho,Nampa,5.9,5.6,6.1,,,
2017,HI,Hawaii,Honolulu,6.8,6.6,7,,,
2017,HI,Hawaii,Honolulu,4.4,4.2,4.5,,,
2017,GA,Georgia,Roswell,6.3,6.2,6.4,,,
2017,GA,Georgia,Augusta,6.2,6,6.3,,,
2017,HI,Hawaii,Honolulu,7.4,7.1,7.9,,,
2017,GA,Georgia,Savannah,6.3,6,6.7,,,
2017,ID,Idaho,Boise City,6.4,6.2,6.6,,,
2017,GA,Georgia,Augusta,8.1,7.7,8.3,,,
2017,GA,Georgia,Macon,6.7,6.4,6.9,,,
2017,HI,Hawaii,Honolulu,6.8,6.5,7.1,,,
2017,HI,Hawaii,Honolulu,6.4,6.1,6.6,,,
2017,HI,Hawaii,Honolulu,4.7,4.5,4.9,,,
2017,GA,Georgia,Roswell,7.5,7.2,7.9,,,
2017,HI,Hawaii,Honolulu,8.9,8.5,9.2,,,
2017,HI,Hawaii,Honolulu,6.9,6.4,7.3,,,
2017,GA,Georgia,Augusta,4.9,4.7,5,,,
2017,GA,Georgia,Sandy Springs,5.5,5.4,5.6,,,
2017,HI,Hawaii,Honolulu,2.6,2.4,2.7,,,
2017,GA,Georgia,Johns Creek,4.8,4.7,5,,,
2017,GA,Georgia,Savannah,5.5,5.4,5.8,,,
2017,ID,Idaho,Boise City,6.3,6.1,6.6,,,
2017,HI,Hawaii,Honolulu,7.2,6.9,7.4,,,
2017,HI,Hawaii,Honolulu,2,1.9,2.1,,,
2017,GA,Georgia,Macon,5.1,5,5.3,,,
2017,GA,Georgia,Sandy Springs,9,8.6,9.4,,,
2017,HI,Hawaii,Honolulu,3.8,3.7,3.8,,,
2017,GA,Georgia,Macon,5.2,5,5.3,,,
2017,GA,Georgia,Augusta,5.6,5.4,5.7,,,
2017,HI,Hawaii,Honolulu,7.2,7,7.5,,,
2017,GA,Georgia,Columbus,6.8,6.4,7.1,,,
2017,HI,Hawaii,Honolulu,4.6,4.5,4.7,,,
2017,HI,Hawaii,Honolulu,5.5,5.4,5.7,,,
2017,GA,Georgia,Savannah,7.4,7,7.8,,,
2017,ID,Idaho,Nampa,4.4,4.3,4.6,,,
2017,HI,Hawaii,Honolulu,5.9,5.8,6,,,
2017,GA,Georgia,Warner Robins,6.1,6.1,6.2,,,
2017,ID,Idaho,Boise City,6.2,6.1,6.2,,,
2017,ID,Idaho,Meridian,6.3,6.1,6.6,,,
2017,GA,Georgia,Columbus,5.2,5.1,5.5,,,
2017,ID,Idaho,Boise City,10.9,10.7,11.6,,,
2017,GA,Georgia,Columbus,2.3,2.2,2.4,,,
2017,HI,Hawaii,Honolulu,5.8,5.6,5.9,,,
2017,GA,Georgia,Warner Robins,4.3,4.2,4.5,,,
2017,HI,Hawaii,Honolulu,6.5,6.3,6.7,,,
2017,ID,Idaho,Boise City,6.7,6.5,7,,,
2017,HI,Hawaii,Honolulu,4.2,4.1,4.3,,,
