Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,IL,Illinois,Chicago,6.3,5.9,6.7,,,
2017,IL,Illinois,Chicago,3.2,3,3.5,,,
2017,IL,Illinois,Chicago,17,15.8,18.4,,,
2017,IL,Illinois,Naperville,7.9,7.1,8.8,,,
2017,IL,Illinois,Chicago,7.6,7,8.2,,,
2017,IL,Illinois,Chicago,10.9,10.3,11.5,,,
2017,IL,Illinois,Chicago,10.8,10.3,11.2,,,
2017,IL,Illinois,Chicago,10.9,10.3,11.5,,,
2017,IL,Illinois,Joliet,13.2,12.4,13.9,,,
2017,IL,Illinois,Chicago,11.1,10.5,11.7,,,
2017,IL,Illinois,Chicago,19.6,18.6,20.7,,,
2017,IL,Illinois,Chicago,9.6,8.9,10.2,,,
2017,IL,Illinois,Chicago,13.8,12.7,14.9,,,
2017,IL,Illinois,Elgin,6,5.6,6.4,,,
2017,IL,Illinois,Naperville,7.4,6.9,7.9,,,
2017,IL,Illinois,Chicago,3.7,3.4,4,,,
2017,IL,Illinois,Chicago,3.4,3.1,3.7,,,
2017,IL,Illinois,Peoria,10.6,9.5,12,,,
2017,IL,Illinois,Chicago,17.4,16.1,18.6,,,
2017,IL,Illinois,Naperville,,,,,,
2017,IL,Illinois,Chicago,16.2,15.1,17.4,,,
2017,IL,Illinois,Chicago,5.7,5.3,6,,,
2017,IL,Illinois,Elgin,9.2,8.7,9.7,,,
2017,IL,Illinois,Joliet,9.9,9.4,10.3,,,
2017,IL,Illinois,Chicago,17.5,16.4,18.5,,,
2017,IL,Illinois,Chicago,5.4,5.1,5.8,,,
2017,IL,Illinois,Chicago,12.3,11.5,13,,,
2017,IL,Illinois,Chicago,6.6,6.1,7.1,,,
2017,IL,Illinois,Chicago,10.3,9.5,11.1,,,
2017,IL,Illinois,Chicago,3.9,3.7,4.2,,,
2017,AL,Alabama,Hoover,9.3,8.4,10.3,,,
2017,IL,Illinois,Chicago,7.3,6.8,7.8,,,
2017,IL,Illinois,Chicago,5.4,5.1,5.8,,,
2017,IL,Illinois,Chicago,11.6,10.7,12.5,,,
2017,IL,Illinois,Joliet,10,10,10.1,,,
2017,IL,Illinois,Chicago,11.7,11,12.2,,,
2017,IL,Illinois,Chicago,10.3,9.5,11.2,,,
2017,IL,Illinois,Chicago,15.4,14.6,16.1,,,
2017,IL,Illinois,Chicago,18.7,17.2,20.2,,,
2017,IL,Illinois,Chicago,10.7,9.7,11.7,,,
2017,IL,Illinois,Peoria,20.1,19.1,21,,,
2017,IL,Illinois,Chicago,5.2,4.9,5.6,,,
2017,IL,Illinois,Peoria,16,15.2,16.7,,,
2017,IL,Illinois,Chicago,9,8.5,9.6,,,
2017,IL,Illinois,Chicago,5.7,5.3,6.1,,,
2017,IL,Illinois,Chicago,12.6,11.6,13.4,,,
2017,IL,Illinois,Chicago,4.9,4.6,5.2,,,
2017,IL,Illinois,Chicago,16.4,15.1,17.7,,,
2017,IL,Illinois,Chicago,5.1,4.8,5.3,,,
2017,IL,Illinois,Joliet,11.1,10.6,11.7,,,
2017,IL,Illinois,Evanston,8.6,8.1,9.2,,,
2017,IL,Illinois,Chicago,13.8,13.1,14.5,,,
2017,IL,Illinois,Decatur,13.9,13,14.8,,,
2017,IL,Illinois,Chicago,12.4,11.7,13,,,
2017,IL,Illinois,Chicago,18.1,16.8,19.3,,,
2017,IL,Illinois,Chicago,21.4,20.3,22.6,,,
2017,IL,Illinois,Chicago,11.4,10.3,12.5,,,
2017,IL,Illinois,Chicago,10.4,9.7,11.2,,,
2017,IL,Illinois,Chicago,19.5,18.3,20.8,,,
2017,IL,Illinois,Chicago,15.2,14.1,16.2,,,
2017,IL,Illinois,Chicago,12.4,11.6,13.2,,,
2017,IL,Illinois,Chicago,11.6,10.8,12.3,,,
2017,IL,Illinois,Naperville,6.8,6.3,7.4,,,
2017,IL,Illinois,Chicago,7,6.6,7.4,,,
2017,IL,Illinois,Chicago,16.5,15.3,17.8,,,
2017,IL,Illinois,Joliet,8.9,8.1,9.6,,,
2017,IL,Illinois,Chicago,11.3,10.7,11.8,,,
2017,IL,Illinois,Chicago,10.3,9.7,11,,,
2017,IL,Illinois,Elgin,11.9,11.2,12.5,,,
2017,IL,Illinois,Chicago,13.8,13,14.7,,,
2017,IL,Illinois,Chicago,9.2,8.5,9.9,,,
2017,IL,Illinois,Chicago,9.3,8.6,10,,,
2017,IL,Illinois,Chicago,2.2,2,2.3,,,
2017,IL,Illinois,Chicago,10.7,10.2,11.1,,,
2017,IL,Illinois,Decatur,14.1,13.3,15,,,
2017,IL,Illinois,Chicago,9.9,9.3,10.7,,,
2017,IL,Illinois,Chicago,8.5,7.8,9.1,,,
